name,committee,status,url
Ameya Pawar,Renew Chicago-Ameya Pawar,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22524
Ameya Pawar,Friends of Ameya Pawar,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23607
Anthony Beale,Citizens to Elect Anthony Beale,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14556
Anthony Beale,9th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24366
Ariel E Reboyras,Citizens for Ariel E Reboyras,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163
Ariel E Reboyras,30th Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128
Bob Fioretti,Friends of Bob Fioretti,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21102
Bob Fioretti,2nd Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23191
Brendan Reilly,Citizens for Alderman Reilly,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263
Brendan Reilly,Reilly for Ward Committeeman,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23931
Brendan Reilly,42nd Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117
Carrie M Austin,34th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197
Carrie M Austin,Citizens For Frost,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4510
Carrie M Austin,Citizens for Carrie M Austin-Alderman 34th Ward,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11884
Carrie M Austin,Friends of Carrie Austin 34th Ward Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11885
Daniel S Solis,Citizens for Danny Solis,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12260
Daniel S Solis,25th Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421
Deb Mell,Citizens for Deb Mell,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20627
Deborah L Graham,Citizens to Elect Deborah L Graham,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16505
Deborah L Graham,Democratic Party of the 29th Ward,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23266
Debra Silverstein,Friends for Debra Silverstein,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22982
Edward M Burke,14th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=499
Edward M Burke,14th Ward Civic Org,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=552
Edward M Burke,Democratic Party of the 14th Ward Ad Book Comm,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=1104
Edward M Burke,Friends of Edward M Burke,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4410
Edward M Burke,The Burnham Committee,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16891
Emma Mitts,Citizens to Elect Emma Mitts,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15622
Emma Mitts,The New 37th Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18118
George A Cardenas,Friends of George A Cardenas,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17290
George A Cardenas,4th State Central Committeeman's Victory Fund,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19429
George A Cardenas,12th Ward Ad Book Committee,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21647
George A Cardenas,12th Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18408
Harry Osterman,Citizens for Harry Osterman,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14971
Harry Osterman,Neighbors for Harry Osterman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22976
"Howard B Brookins, Jr","Citz to Elect Howard B Brookins, Jr",Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14525
"Howard B Brookins, Jr","Cmte to Elect Howard B Brookins, Jr",Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17003
"Howard B Brookins, Jr",21 Chicago,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18004
"Howard B Brookins, Jr","Friends of Howard B Brookins, Jr",Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20626
"Howard B Brookins, Jr",Justice for All PAC,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20625
James A Balcer,Citizens for Balcer,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17491
James Cappleman,Citizens for Cappleman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19747
Jason C Ervin,Friends to Elect Jason C Ervin,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16671
Jason C Ervin,Citizens for Ervin,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23112
Jason C Ervin,28th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24663
JoAnn Thompson,Friends of JoAnn Thompson,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16425
John A Pope,Friends of John Pope for Alderman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14501
John A Pope,Citizens to Re-elect John Pope for Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19733
John Arena,Citizens to Elect John Arena,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22749
John Arena,Friends of 45,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24368
Joseph A Moore,Citizens for Joe Moore,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6380
Latasha Thomas,Citizens to Elect Latasha R Thomas,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15729
Latasha Thomas,17th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16229
Leslie A Hairston,Fifth Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14992
Leslie A Hairston,Friends of Leslie A Hairston,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14216
Lona Lane,Citizens to Elect Lona Lane,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20015
Margaret Laurino,Friends of Margaret Laurino,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9808
Margaret Laurino,39th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11463
Marty Quinn,Citizens for Marty Quinn,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23282
Mary O'Connor,Friends for Mary O'Connor,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Mary O'Connor,41st Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22609
Matt O'Shea,19th Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=376
Matt O'Shea,Friends of Matt O'Shea,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22919
Michael Chandler,Citizens For New Beginnings In The 24th Ward,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10760
Michael Chandler,Comm To Elect Michael D Chandler,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10930
Michael Chandler,Chandler for Alderman,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23005
Michael Chandler,The New 24th Ward Dem Org Formerly Comm To Elect Michael D,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12107
Michael Chandler,Citizens to Re-Elect Michael D Chandler,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14947
Michael Chandler,24th Ward Regular Democratic Organization,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14948
Michael Chandler,Citizens for Chandler for Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24464
Michael R Zalewski,23rd Ward Democratic Org,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=220
Michael R Zalewski,Friends of Mike Zalewski,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael R Zalewski,23rd Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michele Smith,Michele Smith for Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23895
Michele Smith,Friends of Michele Smith,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19682
Michele Smith,43rd Ward Democrats,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21283
Michelle A Harris,Friends of Michelle A Harris,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20016
Michelle A Harris,8th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=553
Natashia Holmes,Friends of Natashia Holmes,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25284
Natashia Holmes,7th Ward Regular Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25332
Nicholas Sposato,Friends of Nicholas Sposato,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19830
Nicholas Sposato,36th Ward Independent Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24204
Pat Dowell,Citizens for Pat Dowell,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16892
Patrick J O'Connor,Friends Of Patrick J O'Connor,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=5119
Patrick J O'Connor,Citizens for Patrick O'Connor,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353
"Proco ""Joe"" Moreno",Friends for Proco Joe Moreno,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20809
"Proco ""Joe"" Moreno",Citizens For Moreno,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9912
"Proco ""Joe"" Moreno",1st Ward First Independent Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24042
"Regner ""Ray"" Suarez",Citizens for Suarez,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6555
"Regner ""Ray"" Suarez",Friends of Suarez,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14968
Rey Colon,Neighbors For Rey Colon,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14238
Rey Colon,Neighbors for Rey Colon,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17037
Rey Colon,35th Ward Community Action Council,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18012
Rey Colon,Rey Colon 35th Ward Committeeman,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18010
Ricardo Munoz,Citizens for Munoz,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,22nd Ward Democratic Committeeman Fund,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,"Friends Of Garcia, Silva & Munoz",Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=13134
Roberto Maldonado,Citizens for Maldonado,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9533
Roberto Maldonado,The 26th Ward Democratic Organization,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15492
Roderick T Sawyer,Citz To Elect Roderick T Sawyer,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=8153
Roderick T Sawyer,Citz For Roderick T Sawyer,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11715
Roderick T Sawyer,Friends of Roderick T Sawyer,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22875
Roderick T Sawyer,6th Ward Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24149
Scott Waguespack,Friends of Michael O'Connor PAC,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15805
Scott Waguespack,Citizens for Waguespack,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19898
Tim Cullerton,Citizens for Tim Cullerton,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23111
Tom Tunney,Citizens for Tunney,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17150
Tom Tunney,44th Ward Regular Democratic Org,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=468
Toni L Foulkes,Friends to Elect Toni L Foulkes,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20107
Toni L Foulkes,15th Ward Democratic Club of Chicago,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22910
"Walter Burnett, Jr","Friends of Walter Burnett, Jr",Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10591
"Walter Burnett, Jr",The New 27th Ward Democratic Party,Final,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11489
Will Burns,Friends of Will Burns,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20749
Willie B Cochran,Citizens to Elect Willie B Cochran,Active,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19880
