query,officer_name_match,officer_title,committee_url
Ameya Pawar,Ameya Pawar,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22524
Ameya Pawar,Ameya Pawar,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23607
Ameya Pawar,Ameya Pawar,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23607
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23931
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23931
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117
Carrie Austin,Carrie Austin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197
Carrie Austin,Carrie Austin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12260
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12260
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16505
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23266
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16505
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23266
Debra Silverstein,Debra. Silverstein,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22982
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=499
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=552
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=7920
Edward Burke,Edward M Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16891
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=499
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=552
Edward Burke,Edward M. Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=7920
Edward Burke,Edward M Burke,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16891
Emma Mitts,Emma Mitts,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25741
Emma Mitts,Emma Mitts,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25741
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17290
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18408
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19429
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21647
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17290
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18408
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19429
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21647
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17290
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18408
George Cardenas,George A Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19429
George Cardenas,George Cardenas,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21647
James Balcer,James Balcer,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17491
James Cappleman,James Cappleman,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19747
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15337
Jason Ervin,Jason C Ervin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16671
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20844
Jason Ervin,Jason C Ervin,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24663
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15337
Jason Ervin,Jason C Ervin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16671
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20844
Jason Ervin,Jason C Ervin,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24663
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15337
Jason Ervin,Jason C Ervin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16671
Jason Ervin,Jason Ervin,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20844
Jason Ervin,Jason C Ervin,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24663
JoAnn Thompson,JoAnn Thompson,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16425
JoAnn Thompson,JoAnn Thompson,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16425
John Arena,John Arena,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22749
John Arena,John Arena,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24368
John Arena,John Arena,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22749
John Arena,John Arena,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24368
John Pope,John A Pope,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14501
John Pope,John A Pope,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19733
John Pope,John A Pope,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14501
John Pope,John A Pope,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19733
Joseph Moore,Joseph Moore,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6380
Joseph Moore,Joseph Moore,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6380
Latasha Thomas,Latasha Thomas,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12367
Latasha Thomas,Latasha Thomas,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12367
Leslie Hairston,Leslie A Hairston,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14216
Leslie Hairston,Leslie A Hairston,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14992
Leslie Hairston,Leslie A Hairston,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14216
Leslie Hairston,Leslie A Hairston,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14992
Lona Lane,Lona Lane,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20015
Lona Lane,Lona Lane,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20015
Margaret Laurino,Margaret Laurino,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11463
Marty Quinn,Marty Quinn,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23282
Mary O'Connor,Mary E O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Mary O'Connor,Mary E O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22609
Mary O'Connor,Mary E O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Mary O'Connor,Mary E O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22609
Matt O'Shea,Matthew J O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=376
Matt O'Shea,Matthew G O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9805
Matt O'Shea,Matt O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16329
Matt O'Shea,Matthew J O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=376
Matt O'Shea,Matthew G O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9805
Matt O'Shea,Matt O'Shea,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16329
Michael Chandler,Michael D Chandler,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10930
Michael Chandler,Michael D Chandler,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10930
Michael Chandler,Michael D Chandler,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12107
Michael Chandler,Michael D Chandler,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23005
Michael Chandler,Michael D Chandler,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24464
Michael Zalewski,Michael R Zalewski,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael Zalewski,Michael John Zalewski,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael Zalewski,Michael R Zalewski,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michael Zalewski,Michael John Zalewski,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michael Zalewski,Michael R Zalewski,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael Zalewski,Michael John Zalewski,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156
Michael Zalewski,Michael R Zalewski,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michael Zalewski,Michael John Zalewski,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167
Michele Smith,Michele E Smith,Chairwoman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19682
Michele Smith,Michele E Smith,Chairwoman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21283
Michele Smith,Michele Smith,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23895
Michele Smith,Michele E Smith,Chairwoman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19682
Michele Smith,Michele E Smith,Chairwoman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=21283
Michele Smith,Michele Smith,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23895
Michelle Harris,Michelle A Harris,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=553
Michelle Harris,Michelle. Harris,Secretary,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22093
Michelle Harris,Michelle A. Harris,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24362
Michelle Harris,Michelle A Harris,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=553
Michelle Harris,Michelle. Harris,Secretary,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22093
Michelle Harris,Michelle A. Harris,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24362
Natashia Holmes,Natashia L Holmes,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25284
Natashia Holmes,Natashia L Holmes,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25332
Nicholas Sposato,Nicholas Sposato,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19830
Nicholas Sposato,Nicholas Sposato,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24204
Nicholas Sposato,Nicholas Sposato,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19830
Nicholas Sposato,Nicholas Sposato,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24204
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=5119
Patrick O'Connor,Patrick J. O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17441
Patrick O'Connor,Patrick O'Connor,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Patrick O'Connor,Patrick J O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23699
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=5119
Patrick O'Connor,Patrick J. O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17441
Patrick O'Connor,Patrick O'Connor,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Patrick O'Connor,Patrick J O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23699
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353
Patrick O'Connor,Patrick J O'Connor,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=5119
Patrick O'Connor,Patrick J. O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17441
Patrick O'Connor,Patrick O'Connor,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20673
Patrick O'Connor,Patrick J O'Connor,Chairperson,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23699
Proco Moreno,Proco Joe Moreno,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20809
Proco Moreno,Proco Joe Moreno,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20809
Regner Suarez,"Regner ""Ray"" Suarez",Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6555
Regner Suarez,"Regner ""Ray"" Suarez",Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14968
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14238
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17037
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18010
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18012
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14238
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17037
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18010
Rey Colon,Rey Colon,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18012
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23767
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23767
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832
Ricardo Munoz,Ricardo Munoz,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23767
Roderick Sawyer,Roderick Sawyer,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17000
Roderick Sawyer,Roderick Sawyer,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17000
Roderick Sawyer,Roderick Sawyer,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17000
Scott Waguespack,Scott Waguespack,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19898
Scott Waguespack,Scott Waguespack,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23767
Scott Waguespack,Scott Waguespack,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19898
Scott Waguespack,Scott Waguespack,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23767
Tom Tunney,Tom Tunney,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=468
Tom Tunney,Tom Tunney,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=468
Toni Foulkes,Toni Foulkes,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20107
Toni Foulkes,Toni Foulkes,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22910
Toni Foulkes,Toni Foulkes,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20107
Toni Foulkes,Toni Foulkes,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22910
"Walter Burnett,","Walter Burnett, Jr",Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11489
Will Burns,Will Burns,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20749
Will Burns,Will Burns,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=20749
Willie Cochran,Willie B Cochran,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19880
Willie Cochran,Willie B Cochran,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19880
